DeployID,Ptt,0-30,30-60,60-90,90-120,120-300,300-600,600-1200,1200-1800,1800-2700,2700-3600,3600-5400,5400-7200,7200-10800,>10800
42599,42599,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42599,42599,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42599,42599,0,0,0,0,0,2,0,4,1,1,0,0,0,0
42599,42599,0,0,1,0,0,0,0,1,1,1,0,0,1,0
42599,42599,2,1,0,0,0,0,5,3,3,0,0,0,0,0
42599,42599,2,1,0,0,0,0,7,2,2,0,0,0,0,0
42599,42599,4,0,0,0,0,0,0,1,0,0,1,1,0,0
42599,42599,0,0,0,0,0,0,0,0,0,0,0,1,0,1
42599,42599,4,0,0,0,0,1,1,0,0,2,1,0,0,0
42599,42599,3,0,0,0,0,0,0,0,0,0,0,1,1,0
42599,42599,1,0,0,0,0,0,0,0,0,1,0,0,1,0
42599,42599,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42599,42599,0,0,0,0,0,0,0,0,0,0,0,0,1,0
42599,42599,0,0,0,0,0,0,1,1,1,1,1,0,0,0
42599,42599,0,0,0,1,0,0,1,1,0,2,0,0,0,0
42599,42599,0,0,1,1,2,2,6,1,3,0,0,0,1,0
42599,42599,5,0,0,0,0,1,0,4,3,0,0,0,0,0
42599,42599,4,0,0,0,0,0,1,1,5,0,0,0,0,0
42599,42599,2,2,0,0,1,0,3,1,1,1,0,1,0,0
42599,42599,1,0,0,0,0,0,1,2,1,0,2,0,0,0
42599,42599,4,1,0,0,0,2,4,4,0,0,1,0,0,0
42599,42599,1,0,0,0,0,0,2,2,0,1,1,0,0,0
42599,42599,1,0,0,1,1,0,0,0,0,0,2,1,0,0
42599,42599,1,0,0,0,0,0,0,2,1,0,2,0,0,0
42599,42599,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42599,42599,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42599,42599,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42599,42599,5,0,0,0,0,2,6,1,1,1,0,0,0,0
42599,42599,2,0,0,0,0,0,1,3,3,1,0,0,0,0
42599,42599,5,0,0,0,1,0,3,3,1,1,0,0,0,0
42599,42599,0,0,0,0,0,2,0,0,0,0,0,0,0,0
42599,42599,0,0,0,0,0,0,0,0,1,1,0,0,0,1
42599,42599,7,0,0,0,0,4,6,3,1,0,0,0,0,0
42599,42599,1,0,0,0,0,2,3,0,1,0,0,1,0,0
42599,42599,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42599,42599,1,0,0,0,0,0,0,0,0,0,3,0,0,0
42599,42599,3,0,0,0,0,0,0,0,0,0,0,0,0,1
42599,42599,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42599,42599,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42599,42599,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42600,42600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42600,42600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42600,42600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42600,42600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42600,42600,0,0,0,0,1,1,0,0,0,1,0,0,0,0
42600,42600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42600,42600,0,0,0,0,0,0,0,0,0,0,1,0,1,0
42600,42600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42600,42600,0,0,1,0,0,0,0,0,1,0,0,1,0,0
42600,42600,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42600,42600,0,0,0,0,1,0,0,0,0,1,1,1,0,0
42600,42600,0,0,0,0,0,0,0,0,0,0,0,0,1,0
42600,42600,0,0,0,0,0,0,0,0,0,0,0,0,2,0
42600,42600,2,0,0,0,0,0,0,0,2,1,0,0,1,0
42600,42600,0,0,0,0,0,0,0,1,1,2,1,0,0,0
42600,42600,4,0,0,0,0,0,3,2,0,1,0,0,0,0
